Tmax	T850	d700	d500
11,4	-3,3	2,7	5
17,7	10,4	3,3	1,9
22,3	9,4	1,9	13
18,9	4,8	5	2,6
26,5	12	7	16
25,1	14,2	0	0,6
24,9	9,8	29	10
25,5	15,6	4	5
19,3	9,8	0,4	1,4
16,5	2,8	7	6
17,5	6,2	1,5	1,9
27,5	14,8	1,1	11
28,8	14,2	2,4	12
22,2	9,4	5	8
15,9	7,6	0	0,3
15,7	5	9	10
16,8	5,4	0	1,5
13,9	3,4	1,8	10
5,4	-7,1	6	3,6
17,9	8	3,1	7
25,1	7,2	16	13
22,6	9,8	7	11
18,9	5,8	1,5	6
25	8,6	6	13
20,7	5,6	13	14
23,4	7,6	2,1	8
19,1	6,4	0,7	1,6
17,8	8,4	1,5	2,4
20,8	10,4	3,4	8
24	7,6	3,1	1,8
21,4	7,6	20	4,2
16,8	4,6	1,3	2,1
19,1	5,6	4,5	3,6
28,8	13,2	4,3	10
22,2	9,6	11	11
23,5	8	9	12
22,2	6,8	9	9
19,7	8	8	1,8
19,3	4,8	7	19
