12	-3	-11	-11	-27	-24	-32
15	0	-8	-5	-17	-18	-32	   
20	5	-5	-1	-11	-18	-29	   
18	4	-9	0	-20	-20	-28	   
19	4	-11	-3	-29	-22	-36	   
17	4	-6	-8	-24	-25	-38	   
16	2	-8	-7	-23	-23	-38	   
18	2	-12	-7	-23	-26	-40	   
18	2	-2	-8	-10	-26	-29	   
1	-12	-16	-17	-28	-30	-42	   
3	-12	-17	-20	-29	-33	-43	   
9	-6	-15	-17	-24	-30	-34	   
15	0	-14	-9	-27	-27	-39	   
16	3	-1	-5	-6	-23	-26	   
23	10	-1	-4	-5	-22	-24	   
24	8	7	-2	-2	-19	-19	   
19	7	3	-2	-5	-19	-23	   
12	0	-4	-4	-7	-18	-26	   
18	2	-12	-1	-12	-18	-29	   
21	6	-3	-1	-19	-20	-36	   
24	8	0	0	-2	-18	-26	   
26	11	-1	-3	-8	-18	-31	   
22	9	5	-4	-7	-20	-29	   
19	5	-12	-4	-4	-20	-24	   
20	3	-7	0	-1	-16	-19	   
16	4	1	-1	-2	-17	-18	   
20	6	2	-4	-5	-22	-32	   
22	7	-1	-5	-13	-19	-35	   
21	8	2	-1	-9	-18	-23	   
26	12	5	1	-7	-15	-28	   
21	9	8	0	0	-17	-22	   
20	4	-1	-4	-24	-18	-37	   
20	4	-2	-5	-16	-26	-36	   
23	8	3	-1	-5	-14	-17	   
25	10	7	-2	-9	-16	-27	   
21	6	0	-3	-25	-19	-29	   
19	4	0	-3	-4	-18	-20	   
15	8	7	2	2	-20	-32	   
18	2	-2	-2	-14	-17	-37	   
20	6	2	1	-15	-16	-27	   
23	8	3	1	-15	-15	-32	   
26	11	5	1	-4	-13	-23	   
22	13	11	1	-4	-18	-32	   
27	12	8	1	-7	-14	-15	   
24	10	10	1	-2	-14	-24	   
24	9	-2	4	-16	-12	-36	   
28	12	3	2	-5	-11	-17	   
29	14	7	3	-9	-12	-27	   
29	13	0	4	-25	-13	-29	   
27	15	0	3	-4	-12	-20	   
29	7	2	0	-14	-15	-37	   
25	4	2	1	-15	-15	-27	   
30	15	8	4	-2	-10	-20	   
35	20	2	5	-2	-11	-23	   
30	14	8	3	-4	-10	-25	   
32	17	6	4	-2	-12	-16	   
32	16	9	3	-11	-11	-26	   
32	17	11	5	-3	-11	-28	   
30	13	10	5	-4	-11	-27	   
27	13	9	6	-10	-13	-30	   
25	10	7	5	-19	-12	-32	   
29	13	4	2	-9	-12	-29	   
28	12	9	3	-4	-14	-22	   
30	16	10	2	-2	-13	-24	   
25	9	1	3	-30	-13	-35	   
23	9	-1	3	-17	-14	-28	   
25	11	-5	-4	-15	-12	-28	   
27	10	4	1	-4	-12	-23	   
28	14	10	3	1	-12	-15	   
31	15	4	4	0	-12	-17	   
23	7	4	2	2	-12	-20	   
21	6	-5	1	-14	-13	-23	   
23	7	1	-1	-10	-15	-27	   
26	10	3	1	-5	-15	-26	   
28	12	6	1	-7	-15	-26	   
29	13	6	1	-2	-16	-24	   
