Tmax	T850	d700	d500	явление
9,7	-0,7	2,4	2,3	0
6,9	-4,3	1,1	1,4	0
21,1	-4,7	7	5	0
11,6	9,6	0,5	1,5	1
27	12	13	9	1
25,6	9,6	2,8	8	1
15,1	2,4	6	21	1
13,9	0,6	11	21	0
12,2	3,2	7	13	0
24,5	12,6	0,2	0	1
29,8	13,4	17	12	0
30,2	15	6	15	1
30,9	15	9	9	0
30,1	16,8	4,1	3,8	1
23,4	14,8	0,5	0,2	1
26,7	10,6	17	16	1
27,8	10	9	14	0
20,4	4,8	11	9	0
11,5	-0,5	6	11	0
11	-0,3	1,2	2,3	0
16,4	5,4	10	16	0
16,5	5,8	7	10	0
17,6	3,8	0,7	1	0
17,7	5,8	2,6	5	1
25,6	13,6	1,4	3,3	1
30	14,2	10	12	0
20,3	8,8	8	12	0
24,3	16	4,7	3,9	1
19,3	9,4	18	9	0
17,5	6,4	0,6	6	1
20,1	7,4	12	18	0
21,8	8	11	20	1
17,3	5,2	1,4	1,1	1
17,3	1,6	0	2,4	0
16,4	8,6	1,2	5	0
13,9	3,6	8	7	0
13,5	3,2	9	10	0
2,7	-11,1	1,6	4,3	0
12,2	1,4	3,9	4,4	0
11	3,4	0,6	2,5	1
27,9	14,2	2	2,3	0
20,1	10,2	3,8	5	0
19,3	6,6	2	21	0
27,7	9,4	9	7	0
20,4	10,4	11	9	0
19,5	6,6	1,8	9	0
19,5	6,8	1,6	10	0
19,1	5,6	0,9	8	0
25,2	14,8	3,1	14	0
22,3	9,6	3	1,8	0
18,3	7	7	14	0
19,3	9	2,3	10	0
18,9	6,2	0,8	1,4	0
15,7	5,8	13	12	0
14,8	4,4	6	16	0
14,4	1,2	11	13	0
22	6,4	1,3	4,5	1
26,2	10,8	3,4	4,3	1
22,7	10	2,8	2,7	1
29,2	11	6	10	0
28,8	13,8	3,9	16	0
23,9	8,8	2,8	13	1
22,9	8,8	13	15	0
19,1	6,6	15	14	0
16,5	4	12	6	1
26,7	11,8	1,5	13	0
31,2	16,8	6	10	1
25,6	7,6	17	15	0
27,9	12,6	5	4	1
19,1	9,8	9	11	0
20,8	7,8	1,5	4,2	1
25,9	10,6	6	17	0
19	6,2	3,7	10	1
24,6	8,6	8	4,7	0
18,9	5,4	11	12	0
17	5,2	0,4	12	0
18,5	8,6	23	15	0
18,3	7	1,9	8	0
